"Other effects of air pressure and water pressure, sequela",T708
"Military operations involving destruction of aircraft due to onboard fire, civilian, initial encounter",Y371
"Military operations involving destruction of aircraft due to onboard fire, civilian, subsequent encounter",Y371
"Military operations involving destruction of aircraft due to onboard fire, civilian, sequela",Y371
"Military operations involving destruction of aircraft due to accidental detonation of onboard munitions and explosives, military personnel, initial encounter",Y371
"Military operations involving destruction of aircraft due to accidental detonation of onboard munitions and explosives, military personnel, subsequent encounter",Y371
"Military operations involving destruction of aircraft due to accidental detonation of onboard munitions and explosives, military personnel, sequela",Y371
"Military operations involving destruction of aircraft due to accidental detonation of onboard munitions and explosives, civilian, initial encounter",Y371
"Military operations involving destruction of aircraft due to accidental detonation of onboard munitions and explosives, civilian, subsequent encounter",Y371
"Military operations involving destruction of aircraft due to accidental detonation of onboard munitions and explosives, civilian, sequela",Y371
"Military operations involving other destruction of aircraft, military personnel, initial encounter",Y371
"Military operations involving other destruction of aircraft, military personnel, subsequent encounter",Y371
"Military operations involving other destruction of aircraft, military personnel, sequela",Y371
"Military operations involving other destruction of aircraft, civilian, initial encounter",Y371
"Military operations involving other destruction of aircraft, civilian, subsequent encounter",Y371
"Military operations involving other destruction of aircraft, civilian, sequela",Y371
"Military operations involving unspecified explosion and fragments, military personnel, initial encounter",Y372
"Military operations involving unspecified explosion and fragments, military personnel, subsequent encounter",Y372
"Military operations involving unspecified explosion and fragments, military personnel, sequela",Y372
"Military operations involving unspecified explosion and fragments, civilian, initial encounter",Y372
"Military operations involving unspecified explosion and fragments, civilian, subsequent encounter",Y372
"Military operations involving unspecified explosion and fragments, civilian, sequela",Y372
"Military operations involving explosion of aerial bomb, military personnel, initial encounter",Y372
"Military operations involving explosion of aerial bomb, military personnel, subsequent encounter",Y372
