Unspecified maternal infectious and parasitic disease complicating the puerperium,O989
"Displaced fracture of neck of second metacarpal bone, right hand, subsequent encounter for fracture with nonunion",S623
"Displaced fracture of neck of second metacarpal bone, right hand, subsequent encounter for fracture with malunion",S623
"Displaced fracture of neck of second metacarpal bone, right hand, sequela",S623
"Displaced fracture of neck of second metacarpal bone, left hand, initial encounter for closed fracture",S623
"Displaced fracture of neck of second metacarpal bone, left hand, initial encounter for open fracture",S623
"Displaced fracture of neck of second metacarpal bone, left hand, subsequent encounter for fracture with routine healing",S623
"Displaced fracture of neck of second metacarpal bone, left hand, subsequent encounter for fracture with delayed healing",S623
"Displaced fracture of neck of second metacarpal bone, left hand, subsequent encounter for fracture with nonunion",S623
"Displaced fracture of neck of second metacarpal bone, left hand, subsequent encounter for fracture with malunion",S623
"Displaced fracture of neck of second metacarpal bone, left hand, sequela",S623
"Displaced fracture of neck of third metacarpal bone, right hand, initial encounter for closed fracture",S623
"Displaced fracture of neck of third metacarpal bone, right hand, initial encounter for open fracture",S623
"Displaced fracture of neck of third metacarpal bone, right hand, subsequent encounter for fracture with routine healing",S623
"Displaced fracture of neck of third metacarpal bone, right hand, subsequent encounter for fracture with delayed healing",S623
"Displaced fracture of neck of third metacarpal bone, right hand, subsequent encounter for fracture with nonunion",S623
"Displaced fracture of neck of third metacarpal bone, right hand, subsequent encounter for fracture with malunion",S623
"Displaced fracture of neck of third metacarpal bone, right hand, sequela",S623
"Displaced fracture of neck of third metacarpal bone, left hand, initial encounter for closed fracture",S623
"Displaced fracture of neck of third metacarpal bone, left hand, initial encounter for open fracture",S623
"Displaced fracture of neck of third metacarpal bone, left hand, subsequent encounter for fracture with routine healing",S623
"Displaced fracture of neck of third metacarpal bone, left hand, subsequent encounter for fracture with delayed healing",S623
"Displaced fracture of neck of third metacarpal bone, left hand, subsequent encounter for fracture with nonunion",S623
"Displaced fracture of neck of third metacarpal bone, left hand, subsequent encounter for fracture with malunion",S623
"Displaced fracture of neck of third metacarpal bone, left hand, sequela",S623
"Displaced fracture of neck of fourth metacarpal bone, right hand, initial encounter for closed fracture",S623
"Displaced fracture of neck of fourth metacarpal bone, right hand, initial encounter for open fracture",S623
"Displaced fracture of neck of fourth metacarpal bone, right hand, subsequent encounter for fracture with routine healing",S623
"Displaced fracture of neck of fourth metacarpal bone, right hand, subsequent encounter for fracture with delayed healing",S623
"Displaced fracture of neck of fourth metacarpal bone, right hand, subsequent encounter for fracture with nonunion",S623
"Displaced fracture of neck of fourth metacarpal bone, right hand, subsequent encounter for fracture with malunion",S623
"Displaced fracture of neck of fourth metacarpal bone, right hand, sequela",S623
"Displaced fracture of neck of fourth metacarpal bone, left hand, initial encounter for closed fracture",S623
"Displaced fracture of neck of fourth metacarpal bone, left hand, initial encounter for open fracture",S623
"Displaced fracture of neck of fourth metacarpal bone, left hand, subsequent encounter for fracture with routine healing",S623
"Displaced fracture of neck of fourth metacarpal bone, left hand, subsequent encounter for fracture with delayed healing",S623
"Displaced fracture of neck of fourth metacarpal bone, left hand, subsequent encounter for fracture with nonunion",S623
"Displaced fracture of neck of fourth metacarpal bone, left hand, subsequent encounter for fracture with malunion",S623
"Displaced fracture of neck of fourth metacarpal bone, left hand, sequela",S623
"Displaced fracture of neck of fifth metacarpal bone, right hand, initial encounter for closed fracture",S623
"Displaced fracture of neck of fifth metacarpal bone, right hand, initial encounter for open fracture",S623
"Displaced fracture of neck of fifth metacarpal bone, right hand, subsequent encounter for fracture with routine healing",S623
"Displaced fracture of neck of fifth metacarpal bone, right hand, subsequent encounter for fracture with delayed healing",S623
"Displaced fracture of neck of fifth metacarpal bone, right hand, subsequent encounter for fracture with nonunion",S623
"Displaced fracture of neck of fifth metacarpal bone, right hand, subsequent encounter for fracture with malunion",S623
"Displaced fracture of neck of fifth metacarpal bone, right hand, sequela",S623
"Displaced fracture of neck of fifth metacarpal bone, left hand, initial encounter for closed fracture",S623
"Displaced fracture of neck of fifth metacarpal bone, left hand, initial encounter for open fracture",S623
"Displaced fracture of neck of fifth metacarpal bone, left hand, subsequent encounter for fracture with routine healing",S623
"Displaced fracture of neck of fifth metacarpal bone, left hand, subsequent encounter for fracture with delayed healing",S623
"Displaced fracture of neck of fifth metacarpal bone, left hand, subsequent encounter for fracture with nonunion",S623
"Displaced fracture of neck of fifth metacarpal bone, left hand, subsequent encounter for fracture with malunion",S623
"Displaced fracture of neck of fifth metacarpal bone, left hand, sequela",S623
"Displaced fracture of neck of other metacarpal bone, initial encounter for closed fracture",S623
"Displaced fracture of neck of other metacarpal bone, initial encounter for open fracture",S623
"Displaced fracture of neck of other metacarpal bone, subsequent encounter for fracture with routine healing",S623
"Displaced fracture of neck of other metacarpal bone, subsequent encounter for fracture with delayed healing",S623
"Displaced fracture of neck of other metacarpal bone, subsequent encounter for fracture with nonunion",S623
"Displaced fracture of neck of other metacarpal bone, subsequent encounter for fracture with malunion",S623
"Displaced fracture of neck of other metacarpal bone, sequela",S623
"Displaced fracture of neck of unspecified metacarpal bone, initial encounter for closed fracture",S623
"Displaced fracture of neck of unspecified metacarpal bone, initial encounter for open fracture",S623
"Displaced fracture of neck of unspecified metacarpal bone, subsequent encounter for fracture with routine healing",S623
"Displaced fracture of neck of unspecified metacarpal bone, subsequent encounter for fracture with delayed healing",S623
"Displaced fracture of neck of unspecified metacarpal bone, subsequent encounter for fracture with nonunion",S623
"Displaced fracture of neck of unspecified metacarpal bone, subsequent encounter for fracture with malunion",S623
"Displaced fracture of neck of unspecified metacarpal bone, sequela",S623
"Nondisplaced fracture of base of second metacarpal bone, right hand, initial encounter for closed fracture",S623
"Nondisplaced fracture of base of second metacarpal bone, right hand, initial encounter for open fracture",S623
